ID,TransNzoia,UasinGishu,Nandi,Turkana,Baringo,WestPokot,Samburu,ElgeyoMarakwet
19900101,6.5,7.9,12.5,1.5,7.0,2.7,0.9,7.0
19900102,11.6,10.9,18.2,0.5,16.6,4.4,0.3,18.0
19900103,4.1,1.6,4.3,0.4,7.3,3.0,0.2,3.9
19900104,4.5,3.1,3.5,2.1,3.6,2.6,0.9,3.7
19900105,3.2,0.8,4.1,1.8,3.8,1.1,0.4,1.1
19900106,0.4,0.9,1.0,0.4,0.4,0.1,0.3,0.8
19900107,0.1,0.3,0.9,0.0,0.2,0.1,0.6,0.3
19900108,0.1,0.3,0.2,0.0,0.1,0.0,0.0,0.0
19900109,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.1
19900110,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
19900111,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
19900112,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1
19900113,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
19900114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19900115,0.0,0.0,0.2,0.4,0.1,0.0,0.0,0.0
19900116,0.0,0.1,0.6,0.8,0.1,0.0,0.0,0.3
19900117,0.5,0.1,0.2,0.2,0.1,0.0,1.0,0.1
19900118,0.6,0.1,0.2,0.1,0.1,0.1,0.1,0.2
19900119,0.1,0.0,0.2,0.0,0.1,0.0,1.8,0.1
19900120,0.0,0.1,0.1,0.1,0.6,0.1,2.9,0.1
19900121,0.3,0.4,0.0,0.1,0.7,0.3,2.9,2.5
19900122,0.0,0.2,0.2,0.1,0.4,0.1,0.7,0.1
19900123,0.0,0.2,0.0,0.1,0.1,0.1,0.1,0.1
19900124,0.0,0.0,0.4,0.0,0.3,0.0,0.1,0.2
19900125,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0
19900126,0.1,0.1,0.0,0.0,0.4,0.1,0.1,0.1
19900127,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.1
19900128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19900129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19900130,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
19900131,2.9,0.2,0.1,0.0,0.1,0.0,0.0,0.0
19900201,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.1
19900202,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0
19900203,0.9,0.1,1.2,0.0,0.0,0.0,0.0,0.0
19900204,0.0,0.0,2.6,0.1,0.0,0.0,0.0,0.0
19900205,0.0,0.0,1.7,0.1,0.1,0.0,0.0,0.1
19900206,0.7,0.1,2.6,1.4,0.4,0.0,0.2,0.1
19900207,5.1,3.1,3.2,2.1,0.6,1.4,0.4,0.9
19900208,9.0,7.2,9.0,7.0,2.7,29.6,8.9,8.3
19900209,1.8,0.8,5.8,1.3,3.6,2.1,3.7,1.7
19900210,1.4,1.3,6.4,0.8,0.6,0.4,0.5,1.3
19900211,1.8,0.5,3.0,0.3,0.4,0.6,0.2,0.4
19900212,1.2,0.4,1.0,0.0,0.0,0.1,0.1,0.2
19900213,0.0,0.0,0.7,0.1,0.1,0.0,0.0,0.1
19900214,0.0,0.0,0.6,0.2,0.4,0.0,0.0,0.0
19900215,0.1,0.1,0.3,0.1,0.2,0.7,0.3,0.4
19900216,0.6,1.4,1.7,1.9,2.9,1.3,0.2,3.5
19900217,5.0,0.2,4.4,0.7,0.1,1.1,0.1,0.7
19900218,4.3,2.3,6.2,2.1,0.7,0.3,1.1,0.7
