ID,TransNzoia,UasinGishu,Nandi,Turkana,Baringo,WestPokot,Samburu,ElgeyoMarakwet
19900101,21.5,21.2,23.2,33.7,28.2,26.8,28.4,22.3
19900102,22.0,21.2,22.2,34.3,26.9,28.2,30.4,22.3
19900103,20.0,20.4,21.6,34.2,27.7,27.0,28.8,21.8
19900104,23.7,23.6,24.2,34.1,31.8,29.9,30.5,25.4
19900105,22.9,22.9,24.1,33.1,27.1,27.8,29.4,22.9
19900106,24.1,23.0,25.1,33.7,29.7,29.1,29.7,24.1
19900107,23.9,22.8,24.8,35.2,29.2,29.5,29.2,23.9
19900108,24.2,22.9,25.5,35.4,29.5,29.6,30.9,23.9
19900109,24.4,23.3,25.7,36.2,29.6,29.8,31.4,24.1
19900110,25.1,23.6,25.6,36.3,29.9,30.2,30.7,24.4
19900111,25.0,23.5,25.7,35.9,29.5,29.9,29.9,24.3
19900112,25.2,24.3,26.7,35.8,30.0,30.0,29.7,24.9
19900113,24.9,23.9,26.5,36.2,29.6,29.7,29.7,24.5
19900114,25.3,23.9,26.2,35.7,29.7,29.6,29.9,24.7
19900115,25.5,25.0,27.4,36.1,30.5,30.0,30.3,25.5
19900116,26.2,25.1,27.5,36.5,30.7,30.5,30.4,25.8
19900117,25.2,25.4,26.8,33.5,31.0,30.4,30.0,26.2
19900118,25.0,24.5,26.4,32.0,30.0,29.3,30.9,25.1
19900119,26.3,25.2,27.1,33.3,30.7,30.4,30.0,26.0
19900120,24.7,23.9,26.4,34.5,29.1,29.0,27.5,24.5
19900121,23.9,23.1,26.0,34.0,28.1,28.3,26.4,23.7
19900122,23.7,23.5,26.2,35.0,28.8,28.8,29.1,24.1
19900123,26.1,25.3,27.5,35.4,30.2,30.3,28.3,25.8
19900124,26.1,25.3,27.5,34.4,29.9,30.0,28.7,25.7
19900125,25.8,25.2,27.9,35.6,30.2,30.3,29.5,25.8
19900126,26.3,25.5,27.9,35.8,30.3,30.7,29.2,26.0
19900127,26.6,26.0,27.8,35.9,30.6,30.6,29.3,26.4
19900128,27.3,26.3,28.3,35.5,31.4,31.2,30.6,27.0
19900129,28.0,27.2,28.9,36.5,32.3,32.2,31.1,27.9
19900130,27.7,27.1,28.9,36.1,32.2,32.2,29.8,27.9
19900131,27.7,26.7,29.0,36.0,32.2,31.8,29.8,27.6
19900201,27.9,27.2,28.7,36.6,31.8,31.6,30.7,27.7
19900202,27.6,26.8,28.4,36.4,31.5,31.2,30.4,27.2
19900203,27.5,27.0,28.8,34.9,31.7,31.3,29.9,27.5
19900204,25.1,25.4,26.9,35.7,30.6,29.9,30.4,25.8
19900205,26.9,27.0,28.5,36.4,31.9,31.4,31.2,27.5
19900206,26.0,26.6,26.7,37.2,31.8,31.6,32.5,27.4
19900207,28.6,28.7,29.2,37.9,34.2,34.1,32.3,30.2
19900208,25.8,25.3,26.2,34.8,30.7,30.8,29.4,26.2
