ID,TransNzoia,UasinGishu,Nandi,Turkana,Baringo,WestPokot,Samburu,ElgeyoMarakwet
19900101,13.8,12.8,13.3,22.9,19.5,18.2,20.3,13.7
19900102,14.0,13.1,13.5,23.9,20.0,19.1,19.8,14.2
19900103,13.1,12.1,12.5,23.9,19.6,18.7,20.0,13.6
19900104,12.3,11.7,12.8,22.7,18.7,18.0,18.1,12.8
19900105,13.5,12.9,13.0,22.5,17.3,17.9,17.6,13.0
19900106,11.2,11.3,11.6,21.8,16.7,16.8,17.5,11.8
19900107,11.1,10.7,11.2,22.7,16.3,16.9,17.5,11.5
19900108,7.9,8.5,10.2,21.9,14.1,14.8,15.3,9.1
19900109,7.3,5.3,8.1,22.1,12.6,13.7,14.6,6.7
19900110,8.3,6.9,8.3,23.0,13.5,14.6,15.5,7.9
19900111,10.0,9.1,10.6,23.8,15.5,16.1,16.7,10.0
19900112,11.7,11.1,12.0,24.2,16.1,16.9,17.4,11.4
19900113,10.8,10.3,12.4,23.4,16.4,16.7,17.2,11.0
19900114,9.4,10.3,11.0,22.8,15.0,15.4,16.6,10.3
19900115,9.4,9.5,11.0,22.8,14.8,15.2,15.9,9.8
19900116,10.9,9.8,11.4,23.6,15.4,16.3,16.9,10.5
19900117,10.5,9.6,11.6,22.9,15.7,16.4,17.0,10.4
19900118,10.3,10.0,11.6,21.5,15.8,16.1,16.7,10.6
19900119,10.9,9.4,11.3,22.4,16.3,16.6,17.4,10.5
19900120,11.8,11.8,12.8,23.3,16.9,17.2,18.0,12.0
19900121,9.0,8.4,10.7,22.6,15.0,14.8,16.7,9.1
19900122,9.6,8.8,11.5,22.1,15.2,15.3,17.0,9.6
19900123,9.4,11.2,12.3,23.1,15.9,15.9,17.1,11.1
19900124,10.5,10.4,11.9,22.3,15.9,15.8,16.4,10.8
19900125,10.0,10.6,11.6,22.4,15.0,15.7,15.4,10.6
19900126,10.4,11.0,13.0,22.9,15.6,16.1,16.7,11.0
19900127,10.8,10.7,12.6,23.1,16.5,16.4,17.8,11.2
19900128,10.3,10.9,12.7,22.9,17.4,16.4,17.5,11.5
19900129,11.0,10.3,11.4,23.0,15.8,16.3,17.0,10.9
19900130,10.5,9.5,11.7,23.0,16.2,16.3,17.4,10.6
19900131,10.1,10.6,12.3,22.6,15.7,15.9,15.9,10.8
19900201,11.9,10.4,12.9,23.3,16.8,17.0,17.6,11.3
19900202,10.9,10.1,12.7,23.0,16.9,16.4,18.1,10.9
19900203,10.8,11.1,13.5,22.7,16.9,16.4,17.0,11.4
19900204,15.4,13.5,14.6,23.1,18.7,18.9,18.7,13.9
19900205,11.6,10.3,12.3,23.4,16.6,16.7,17.8,11.0
19900206,14.2,11.9,13.8,23.8,17.7,18.5,17.7,12.7
19900207,13.0,12.0,13.4,24.3,18.2,18.2,19.1,12.8
19900208,15.2,13.1,15.1,24.2,19.0,19.9,19.7,14.0
19900209,13.7,12.5,13.8,21.7,18.8,18.3,19.0,13.3
19900210,11.2,12.6,13.3,21.8,17.0,17.3,17.3,12.4
19900211,12.9,11.6,13.1,22.6,18.1,18.1,19.0,12.6
19900212,12.3,11.4,13.6,23.1,17.6,17.8,18.2,12.2
19900213,13.1,13.3,14.8,24.0,19.1,18.8,19.3,13.9
19900214,15.2,13.7,14.6,23.7,18.5,19.1,18.5,14.1
19900215,14.3,11.2,12.8,23.7,17.3,18.4,18.2,12.3
19900216,13.5,12.8,14.4,23.9,18.2,18.4,18.8,13.2
19900217,13.1,12.6,14.2,24.1,18.2,18.5,19.0,13.0
19900218,12.8,12.1,13.1,23.1,17.5,18.5,18.1,12.7
19900219,13.3,13.5,14.9,23.5,19.6,19.0,19.2,14.1
19900220,15.3,14.4,14.4,25.2,21.4,21.1,21.7,15.6
19900221,13.7,13.6,14.4,21.9,19.3,17.7,19.3,14.0
19900222,13.3,12.6,13.5,20.8,19.0,17.6,19.0,13.4
19900223,13.6,13.1,13.5,20.6,19.1,18.2,19.1,13.8
19900224,14.1,12.7,13.4,21.5,18.0,17.6,18.8,13.2
19900225,12.9,11.9,12.9,22.3,18.1,17.5,18.6,12.7
19900226,13.4,10.9,12.5,21.5,17.8,17.4,17.9,12.0
19900227,13.4,12.2,13.0,22.4,18.7,17.6,19.2,12.9
19900228,13.7,11.7,12.6,23.3,18.8,18.2,19.3,12.9
19900301,13.1,13.2,14.2,23.3,19.4,17.9,19.5,13.8
19900302,12.3,10.9,12.5,22.2,18.3,17.5,18.0,12.6
19900303,12.5,12.6,13.4,21.4,18.6,17.8,17.6,13.5
19900304,14.7,12.6,13.5,22.1,19.7,18.9,19.0,14.0
19900305,13.0,12.3,13.1,21.6,19.7,18.0,19.2,13.7
19900306,13.2,12.3,12.6,20.9,19.6,18.0,18.4,13.7
19900307,11.2,10.9,12.2,20.4,17.3,16.2,16.5,11.8
19900308,12.9,11.3,12.6,22.0,18.3,17.5,17.7,12.7
19900309,12.0,11.9,12.8,22.4,18.1,17.8,17.9,12.9
19900310,12.1,12.5,13.0,23.4,18.5,18.1,18.6,13.3
19900311,12.8,12.2,12.9,23.2,18.1,18.4,18.2,13.1
19900312,12.4,11.5,13.4,22.5,18.6,18.0,18.6,12.9
19900313,13.8,12.7,13.8,21.7,19.5,18.0,19.4,13.9
19900314,13.5,12.6,13.4,21.9,19.9,17.8,19.9,13.9
19900315,12.7,12.3,13.1,20.8,18.8,17.2,18.5,13.4
19900316,11.4,12.1,12.8,20.6,18.2,16.7,18.0,13.0
19900317,12.8,10.5,11.6,20.7,17.1,17.2,17.6,11.9
19900318,12.3,10.7,11.5,20.9,17.0,16.6,18.4,11.9
19900319,10.4,8.4,10.2,21.3,15.1,15.4,16.5,9.9
19900320,11.8,9.7,11.2,21.4,16.5,16.4,17.2,11.2
19900321,12.3,10.8,12.1,22.2,17.1,17.2,18.0,11.9
19900322,13.1,12.2,13.6,22.8,18.6,17.8,18.7,13.3
19900323,12.6,12.1,12.5,22.9,18.1,17.9,18.4,13.2
19900324,11.4,10.7,11.6,22.0,16.7,16.8,17.0,11.6
19900325,11.0,10.0,11.3,22.6,17.1,17.0,17.2,11.4
19900326,12.9,13.0,13.6,23.6,19.3,18.8,18.8,14.0
19900327,11.9,10.6,11.9,23.1,17.4,17.6,17.9,11.9
19900328,12.4,10.5,11.8,23.4,17.5,17.8,18.1,11.9
19900329,12.7,13.0,13.2,23.6,18.1,18.1,17.9,13.3
19900330,13.4,11.8,12.3,22.9,17.3,18.2,17.9,12.7
19900331,13.3,12.4,13.4,23.1,17.8,17.7,18.5,13.0
19900401,13.9,12.6,13.6,23.4,18.5,19.0,19.2,13.6
19900402,13.9,12.7,13.6,24.3,18.4,18.8,19.0,13.6
19900403,14.1,13.4,13.8,24.5,19.0,19.6,18.9,14.3
19900404,12.8,12.0,12.3,22.8,17.2,17.4,17.2,12.6
19900405,14.6,13.6,14.0,23.7,19.5,19.4,19.8,14.6
19900406,13.6,12.6,13.1,22.9,18.6,18.0,19.4,13.4
19900407,12.7,11.6,12.4,24.6,18.7,18.0,19.1,13.0
19900408,13.6,12.0,13.3,25.8,19.4,19.5,19.5,13.8
19900409,11.6,10.7,12.0,24.1,17.0,16.9,17.7,11.8
19900410,13.3,12.3,12.7,23.0,17.8,18.0,17.9,13.3
19900411,11.5,11.3,12.2,22.2,17.4,16.9,17.7,12.2
19900412,10.4,9.5,11.3,21.4,16.4,15.4,15.7,10.7
19900413,12.7,12.6,13.3,22.3,18.2,17.5,18.4,13.3
19900414,12.2,10.6,12.3,23.6,17.4,17.7,18.0,11.9
19900415,12.2,11.5,13.1,23.8,18.1,17.8,19.1,12.6
19900416,13.1,11.3,12.7,24.5,18.0,18.6,18.9,12.7
19900417,12.4,11.6,12.7,24.2,17.4,17.6,18.4,12.5
